,Country,City,Date,Feels Like,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
0,RU,Saskylakh,1603672468,-3.48,8.24,94,100,10.22,71.92,114.08
1,AU,Hobart,1603672189,47.86,60.01,54,75,12.75,-42.88,147.33
2,ID,Tual,1603672468,86.68,82.36,71,100,7.72,-5.67,132.75
3,US,Hilo,1603672459,75.83,87.8,55,20,17.22,19.73,-155.09
4,IR,Taft,1603672468,45.84,53.6,25,0,4.7,31.75,54.21
5,CA,Dunnville,1603672468,35.67,42.01,76,100,5.01,42.9,-79.62
6,AU,Carnarvon,1603672408,67.06,71.6,83,40,18.34,-24.87,113.63
7,BW,Maun,1603672469,74.14,82.4,24,0,11.41,-19.98,23.42
8,PF,Rikitea,1603672469,65.84,73.72,82,100,25.7,-23.12,-134.97
9,LR,New,1603672469,81.7,73.63,96,6,1.48,6.65,-10.59
10,TR,Akdağmadeni,1603672469,46.17,51.03,45,42,1.9,39.66,35.88
11,ZA,Saldanha,1603672469,52.02,55.4,87,0,6.93,-33.01,17.94
12,US,Fortuna,1603672469,50.67,59.0,66,1,10.29,40.6,-124.16
13,AR,Ushuaia,1603672469,42.85,48.2,66,20,4.7,-54.8,-68.3
14,PE,Hualmay,1603672469,60.91,63.19,84,80,8.75,-11.1,-77.61
15,US,Jamestown,1603672470,35.04,45.0,70,90,10.29,42.1,-79.24
16,US,Barrow,1603672252,15.19,24.8,79,90,8.05,71.29,-156.79
17,GB,Mount,1603672470,39.33,44.01,92,93,5.01,53.66,-1.85
18,PT,Lagoa,1603672434,61.63,64.51,71,100,7.81,39.05,-27.98
19,GF,Cayenne,1603672207,89.69,78.8,94,20,1.12,4.93,-52.33
20,CA,Tuktoyaktuk,1603672470,2.53,17.6,92,90,17.22,69.45,-133.04
21,KI,Butaritari,1603672470,84.47,81.41,69,33,8.34,3.07,172.79
22,US,Sulphur,1603672362,66.6,69.8,73,90,6.93,30.24,-93.38
23,ML,Kayes,1603672471,73.27,78.06,20,0,2.62,14.0,-11.0
24,NG,Bara,1603672471,71.33,73.78,36,30,2.33,10.37,10.73
25,TZ,Mgandu,1603672471,62.62,66.15,66,94,8.72,-5.95,34.13
26,ZA,Bredasdorp,1603672471,55.8,60.8,87,100,12.75,-34.53,20.04
27,MU,Mahébourg,1603672380,70.74,73.4,78,75,14.99,-20.41,57.7
28,PE,Huaraz,1603672471,52.9,56.05,64,100,3.13,-9.53,-77.53
29,TO,Vaini,1603672471,74.03,73.4,94,90,13.87,-21.2,-175.2
30,PH,Punta,1603672471,90.81,83.75,69,97,3.33,8.99,125.34
31,CA,Yellowknife,1603672471,19.6,28.4,79,75,6.93,62.46,-114.35
32,PL,Las,1603672472,29.71,46.0,3,0,13.0,49.74,19.43
33,US,Richards,1603672472,15.13,23.0,79,75,4.7,46.84,-95.91
34,NZ,Bluff,1603672472,47.26,54.0,59,73,8.01,-46.6,168.33
35,FR,Sète,1603672472,54.64,57.2,93,0,3.36,43.4,3.7
36,GB,Aberdeen,1603672198,35.53,48.2,81,20,17.22,57.14,-2.1
37,AU,Esperance,1603672245,50.09,64.4,48,0,23.04,-33.87,121.9
38,CA,Chapais,1603672472,19.81,26.6,79,90,3.36,49.78,-74.85
39,AU,Busselton,1603672473,62.96,73.99,47,0,12.46,-33.65,115.33
40,NZ,Mataura,1603672473,47.26,54.0,59,99,8.01,-46.19,168.86
41,US,College,1603672473,24.26,33.01,74,90,3.36,64.86,-147.8
42,ID,Bali,1603672473,98.02,84.2,94,40,2.24,-8.5,115.0
43,MV,Kudahuvadhoo,1603672417,87.13,82.24,75,62,8.16,2.67,72.89
44,PT,Porto,1603672354,43.12,53.6,87,40,15.32,41.15,-8.61
45,RU,Dalnerechensk,1603672473,37.99,43.63,71,0,4.43,45.93,133.72
46,GL,Qaanaaq,1603672409,-1.86,9.01,76,88,8.37,77.48,-69.36
47,LK,Hambantota,1603672474,82.2,73.4,100,20,1.12,6.12,81.12
48,CN,Yumen,1603672474,22.15,32.18,81,91,10.27,40.28,97.2
49,IS,Vestmannaeyjar,1603672391,39.92,44.17,73,0,2.35,63.44,-20.27
50,ES,El Puerto de Santa María,1603672474,57.97,60.8,93,75,8.05,36.59,-6.23
51,RU,Lavrentiya,1603672474,25.61,33.64,88,88,7.52,65.58,-171.0
52,MZ,Nampula,1603672369,73.72,71.01,88,75,4.7,-15.12,39.27
53,NZ,Kaitangata,1603672475,49.24,53.01,63,100,3.0,-46.28,169.85
